Index,Person in charge,Model name,Source code description,Model figure,Source code URL,Impact of the model proposed,Dataset Name,Dataset description,Dataset URL link,Paper citation,Paper pdf URL
1,Lixing Zhu,VADet -- Vaccine Attitude Detection model,"

A latent representation learning model that jointly learns a stance classifier and disentangles the latent variables capturing stance and aspect respectively.",,https://github.com/somethingx1202/VADet," 14 paper citations, 16 stars, 3 forks","VAD -- Vaccine Attitude Dataset
","
The dataset contains 2,800 tweets relating to COVID-19 vaccines. Each tweet is annotated with a stance label and a text span characterizing the aspect. 


",https://github.com/somethingx1202/VADet/tree/main/Datasets_Raw,"@inproceedings{zhu-etal-2022-disentangled,
    title = ""Disentangled Learning of Stance and Aspect Topics for Vaccine Attitude Detection in Social Media"",
    author = ""Zhu, Lixing  and
      Fang, Zheng  and
      Pergola, Gabriele  and
      Procter, Robert  and
      He, Yulan"",
    booktitle = ""Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies"",
    month = jul,
    year = ""2022"",
    address = ""Seattle, United States"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naacl-main.112"",
    doi = ""10.18653/v1/2022.naacl-main.112"",
    pages = ""1566--1580"",
    abstract = ""Building models to detect vaccine attitudes on social media is challenging because of the composite, often intricate aspects involved, and the limited availability of annotated data. Existing approaches have relied heavily on supervised training that requires abundant annotations and pre-defined aspect categories. Instead, with the aim of leveraging the large amount of unannotated data now available on vaccination, we propose a novel semi-supervised approach for vaccine attitude detection, called VADet. A variational autoencoding architecture based on language models is employed to learn from unlabelled data the topical information of the domain. Then, the model is fine-tuned with a few manually annotated examples of user attitudes. We validate the effectiveness of VADet on our annotated data and also on an existing vaccination corpus annotated with opinions on vaccines. Our results show that VADet is able to learn disentangled stance and aspect topics, and outperforms existing aspect-based sentiment analysis models on both stance detection and tweet clustering."",
}
",https://aclanthology.org/2022.naacl-main.112.pdf
2,Lixing Zhu,Joint Topic Word-embedding (JTW) Model,This repository contains the source code for joint learning topics and topic-specific word embeddings.,,https://github.com/somethingx02/topical_wordvec_models,"17 paper citations, 7 stars, 2 forks",,,,"@article{zhu-etal-2020-neural,
    title = ""A Neural Generative Model for Joint Learning Topics and Topic-Specific Word Embeddings"",
    author = ""Zhu, Lixing  and
      He, Yulan  and
      Zhou, Deyu"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""8"",
    year = ""2020"",
    address = ""Cambridge, MA"",
    publisher = ""MIT Press"",
    url = ""https://aclanthology.org/2020.tacl-1.31"",
    doi = ""10.1162/tacl_a_00326"",
    pages = ""471--485"",
    abstract = ""We propose a novel generative model to explore both local and global context for joint learning topics and topic-specific word embeddings. In particular, we assume that global latent topics are shared across documents, a word is generated by a hidden semantic vector encoding its contextual semantic meaning, and its context words are generated conditional on both the hidden semantic vector and global latent topics. Topics are trained jointly with the word embeddings. The trained model maps words to topic-dependent embeddings, which naturally addresses the issue of word polysemy. Experimental results show that the proposed model outperforms the word-level embedding methods in both word similarity evaluation and word sense disambiguation. Furthermore, the model also extracts more coherent topics compared with existing neural topic models or other models for joint learning of topics and word embeddings. Finally, the model can be easily integrated with existing deep contextualized word embedding learning methods to further improve the performance of downstream tasks such as sentiment classification."",
}",https://aclanthology.org/2020.tacl-1.31/
3,Jun Wang,XProNet: Cross-Modal Prototype Driven Network,"
A cross-modal prototype driven network to promote cross-modal pattern learning and exploit it to improve the task of radiology report generation. 
Apache 2.0 license.",,https://github.com/Markin-Wang/XProNet,"31 paper citation, 57 stars, 8 forks",,,,"@inproceedings{wang2022cross,
  title={Cross-Modal Prototype Driven Network for Radiology Report Generation},
  author={Wang, Jun and Bhalerao, Abhir and He, Yulan},
  booktitle={Computer Vision--ECCV 2022: 17th European Conference, Tel Aviv, Israel, October 23--27, 2022, Proceedings, Part XXXV},
  pages={563--579},
  year={2022}
}",https://www.ecva.net/papers/eccv_2022/papers_ECCV/papers/136950558.pdf
4,Xingwei Tan,Extracting Event Temporal Relations via Hyperbolic Geometry,This repository contains the source code for hyperbolic-based representation learning methods for Event TempRel Extraction. GPL-3.0 license,,https://github.com/Xingwei-Warwick/hyper-event-TempRel,"22 paper citation, 10 stars, 3 fork",,,,"@inproceedings{tan-etal-2021-extracting,
    title = ""Extracting Event Temporal Relations via Hyperbolic Geometry"",
    author = ""Tan, Xingwei  and
      Pergola, Gabriele  and
      He, Yulan"",
    booktitle = ""Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing"",
    month = nov,
    year = ""2021"",
    address = ""Online and Punta Cana, Dominican Republic"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2021.emnlp-main.636"",
    doi = ""10.18653/v1/2021.emnlp-main.636"",
    pages = ""8065--8077"",
    abstract = ""Detecting events and their evolution through time is a crucial task in natural language understanding. Recent neural approaches to event temporal relation extraction typically map events to embeddings in the Euclidean space and train a classifier to detect temporal relations between event pairs. However, embeddings in the Euclidean space cannot capture richer asymmetric relations such as event temporal relations. We thus propose to embed events into hyperbolic spaces, which are intrinsically oriented at modeling hierarchical structures. We introduce two approaches to encode events and their temporal relations in hyperbolic spaces. One approach leverages hyperbolic embeddings to directly infer event relations through simple geometrical operations. In the second one, we devise an end-to-end architecture composed of hyperbolic neural units tailored for the temporal relation extraction task. Thorough experimental assessments on widely used datasets have shown the benefits of revisiting the tasks on a different geometrical space, resulting in state-of-the-art performance on several standard metrics. Finally, the ablation study and several qualitative analyses highlighted the rich event semantics implicitly encoded into hyperbolic spaces."",
}",https://aclanthology.org/2021.emnlp-main.636/
5,Junru Lu,TranCLR,"Event-Centric Question Answering via Contrastive Learning and Invertible Event Transformation

A novel QA model with contrastive learning and invertible event transformation for addressing event-centric QA. The repository is under MIT license.",,https://github.com/LuJunru/TranCLR,7 citations,,,,"@article{lu2022event,
  title={Event-Centric Question Answering via Contrastive Learning and Invertible Event Transformation},
  author={Lu, Junru and Tan, Xingwei and Pergola, Gabriele and Gui, Lin and He, Yulan},
  journal={arXiv preprint arXiv:2210.12902},
  year={2022}
}",https://arxiv.org/abs/2210.12902
6,Hanqi Yan,Knowledge-Aware Graph (KAG) Model,"The repository contains the inplementation of paper ""Position Bias Mitigation: A Knowledge-Aware Graph Model for Emotion Cause Extraction"".                                    Commonsense Knowledge, i.e., ConceptNet is applied as invariant feature to tackle the distribution shift and Position Bias.",,https://github.com/hanqi-qi/Position-Bias-Mitigation-in-Emotion-Cause-Analysis,"ACL21 Oral, 45 citations, 19stars, 7 forks",,,,"@inproceedings{yan-etal-2021-position,
    title = ""Position Bias Mitigation: A Knowledge-Aware Graph Model for Emotion Cause Extraction"",
    author = ""Yan, Hanqi  and
      Gui, Lin  and
      Pergola, Gabriele  and
      He, Yulan"",
    booktitle = ""Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers)"",
    month = aug,
    year = ""2021"",
    address = ""Online"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2021.acl-long.261"",
    doi = ""10.18653/v1/2021.acl-long.261"",
    pages = ""3364--3375"",
    abstract = ""The Emotion Cause Extraction (ECE) task aims to identify clauses which contain emotion-evoking information for a particular emotion expressed in text. We observe that a widely-used ECE dataset exhibits a bias that the majority of annotated cause clauses are either directly before their associated emotion clauses or are the emotion clauses themselves. Existing models for ECE tend to explore such relative position information and suffer from the dataset bias. To investigate the degree of reliance of existing ECE models on clause relative positions, we propose a novel strategy to generate adversarial examples in which the relative position information is no longer the indicative feature of cause clauses. We test the performance of existing models on such adversarial examples and observe a significant performance drop. To address the dataset bias, we propose a novel graph-based method to explicitly model the emotion triggering paths by leveraging the commonsense knowledge to enhance the semantic dependencies between a candidate clause and an emotion clause. Experimental results show that our proposed approach performs on par with the existing state-of-the-art methods on the original ECE dataset, and is more robust against adversarial attacks compared to existing models."",
}",https://aclanthology.org/2021.acl-long.261/
7,Hanqi Yan,SoftDecay,"The repository contains the inplementation of paper ""Addressing Token Uniformity in Transformers via Singular Value Transformation"".                                                                  Token uniformity implies more vanished dimensions in the embedding space. _SoftDecay_ is proposed to a range of transformer-based language models and improved performance is observed in STS evaluation and a range of GLUE tasks.",,https://github.com/hanqi-qi/tokenUni,"UAI22 Spotlight, 10 citatations, 9 stars, 0 forks",,,,"@inproceedings{yan2022addressing,
  title={Addressing token uniformity in transformers via singular value transformation},
  author={Yan, Hanqi and Gui, Lin and Li, Wenjie and He, Yulan},
  booktitle={Uncertainty in Artificial Intelligence},
  pages={2181--2191},
  year={2022},
  organization={PMLR}
}",https://openreview.net/pdf?id=BtUxE_8i5l5
8,Hanqi Yan,Hierarchical Interpretable Neural Text Classifier (Hint),"The repository contains the inplementation of paper ""Hierarchical Interpretation of Neural Text Classification"".                                                                                            Unsupervised self-explanatory framework for document classification. It can extract word-, sentence-, and topic-level rationales explaining the document-level decision.",,https://github.com/hanqi-qi/HINT,"Computation Linguistics 22, 11 citations, 2 stars, 0 forks",,,,"@article{10.1162/coli_a_00459,
    author = {Yan, Hanqi and Gui, Lin and He, Yulan},
    title = ""{Hierarchical Interpretation of Neural Text Classification}"",
    journal = {Computational Linguistics},
    pages = {1-34},
    year = {2022},
    month = {11},
    issn = {0891-2017},
    doi = {10.1162/coli_a_00459},
    url = {https://doi.org/10.1162/coli\_a\_00459},
    eprint = {https://direct.mit.edu/coli/article-pdf/doi/10.1162/coli\_a\_00459/2058271/coli\_a\_00459.pdf},
}",https://direct.mit.edu/coli/article/doi/10.1162/coli_a_00459/112768/Hierarchical-Interpretation-of-Neural-Text
9,Runcong Zhao,"dynamic
Brand-Topic Model (dBTM),","The repository contains the inplementation of paper ""Tracking Brand-Associated Polarity-Bearing Topics in User Reviews """,,https://github.com/BLPXSPG/dBTM,"1 citation, 1 star, 1 fork",,,,"@article{10.1162/coli_a_00459,
    author = {Runcong Zhao and Lin Gui and Hanqi Yan and Yulan He},
    title = ""{Tracking Brand-Associated Polarity-Bearing Topics in User Reviews}"",
    journal = {Transactions of the Association for Computational Linguistics},
    year = {2023},
  }",https://arxiv.org/abs/2301.07183
10,Xingwei Tan,"Bayesian
Translational model (Bayesian-Trans",The repository contains the Bayesian Learning-based Tranlation model for Event TempRel Extraction. MIT license,,https://github.com/Xingwei-Warwick/Bayesian-Trans,"2 paper citation, 8 star, 0 fork",,,,"@article{tan2023event,
  title={Event Temporal Relation Extraction with Bayesian Translational Model},
  author={Tan, Xingwei and Pergola, Gabriele and He, Yulan},
  journal={arXiv preprint arXiv:2302.04985},
  year={2023}
}",https://arxiv.org/abs/2302.04985
